id_nuts,name,id_ars
DE93,Lüneburg,033
DE30,Berlin,
DE50,Bremen,
DE41,Brandenburg - Nordost,
DE94,Weser-Ems,034
DEE3,Magdeburg,
DEA4,Detmold,057
DE92,Hannover,032
DE42,Brandenburg - Südwest,
DEA3,Münster,055
DE91,Braunschweig,031
DEE1,Dessau,
DED3,Leipzig,
DEA1,Düsseldorf,051
DEA5,Arnsberg,059
DEE2,Halle,
DED2,Dresden,146
DEA2,Köln,053
DE73,Kassel,066
DE72,Gießen,065
DED1,Chemnitz,
DEG0,Thüringen,
DEB2,Trier,072
DE26,Unterfranken,096
DEB1,Koblenz,071
DE24,Oberfranken,094
DEF0,Schleswig-Holstein,
DE80,Mecklenburg-Vorpommern,
DE60,Hamburg,
DE25,Mittelfranken,095
DE23,Oberpfalz,093
DE12,Karlsruhe,082
DE22,Niederbayern,092
DE11,Stuttgart,081
DE21,Oberbayern,091
DE27,Schwaben,097
DE71,Darmstadt,064
DEC0,Saarland,
DEB3,Rheinhessen-Pfalz,073
DE14,Tübingen,084
DE13,Freiburg,083
